id,year,value
AME,2096,1217627535
AME,2097,1216588185
AME,2098,1215532094
AME,2099,1214461326
AME,2100,1213377786
EUR,1800,213389638
EUR,1801,214090901
EUR,1802,214803192
EUR,1803,215529454
EUR,1804,216262167
EUR,1805,216999273
EUR,1806,217738202
EUR,1807,218475101
EUR,1808,219209345
EUR,1809,219933205
EUR,1810,220654427
EUR,1811,221426226
EUR,1812,222221964
EUR,1813,223024411
EUR,1814,223832521
EUR,1815,224653893
EUR,1816,225490427
EUR,1817,226334973
EUR,1818,227182208
EUR,1819,228032013
EUR,1820,228885343
EUR,1821,230901283
EUR,1822,232921263
EUR,1823,234952632
EUR,1824,236996051
EUR,1825,239055873
EUR,1826,241057323
EUR,1827,243024458
EUR,1828,244981880
EUR,1829,246916627
EUR,1830,248836109
EUR,1831,250698264
EUR,1832,252541836
EUR,1833,254390626
EUR,1834,256192678
EUR,1835,258257129
EUR,1836,260246636
EUR,1837,262293165
EUR,1838,264350723
EUR,1839,266450379
EUR,1840,268560985
EUR,1841,270649011
EUR,1842,272733874
EUR,1843,274763077
EUR,1844,276874410
EUR,1845,279014363
EUR,1846,281064872
EUR,1847,282559894
EUR,1848,283664002
EUR,1849,285081351
EUR,1850,286677195
EUR,1851,288356222
EUR,1852,290318645
EUR,1853,292209794
EUR,1854,294123171
EUR,1855,296059738
EUR,1856,298038660
EUR,1857,300089125
EUR,1858,302216482
EUR,1859,304422586
EUR,1860,306709067
EUR,1861,309073452
EUR,1862,311432797
EUR,1863,313867241
EUR,1864,316323883
EUR,1865,318757521
EUR,1866,320959377
EUR,1867,323207391
EUR,1868,325271998
EUR,1869,327941632
EUR,1870,329789308
EUR,1871,331382395
EUR,1872,333574619
EUR,1873,336213759
EUR,1874,338979774
EUR,1875,341774286
EUR,1876,344847880
EUR,1877,347942875
EUR,1878,350881135
EUR,1879,354017228
EUR,1880,356890035
EUR,1881,359652833
EUR,1882,362431155
EUR,1883,365191983
EUR,1884,368155177
EUR,1885,371070032
EUR,1886,374048320
EUR,1887,376998821
EUR,1888,379999035
EUR,1889,383102011
EUR,1890,386142256
EUR,1891,388988030
EUR,1892,391963291
EUR,1893,394906834
EUR,1894,398114103
EUR,1895,401280160
EUR,1896,404675436
EUR,1897,408269325
